{
'Raw input: ######kkoyöjy':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: ###ehbmryd###':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
'Raw input: ##ehbmryd####':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
'Raw input: #ehbmryd#####':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
'Raw input: ehbmryd######':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
'Raw input: ######srrgdrh':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: #####srrgdrh#':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: ####srrgdrh##':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: ###srrgdrh###':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: ##srrgdrh####':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: #srrgdrh#####':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: srrgdrh######':'('LD output: srrgdrh', 'UDT output: srrgdrh')'
'Raw input: ######ybhnyrp':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: #####ybhnyrp#':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: ####ybhnyrp##':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: ###ybhnyrp###':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: ##ybhnyrp####':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: #ybhnyrp#####':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: ybhnyrp######':'('LD output: ybhnyrp', 'UDT output: ybhnyrp')'
'Raw input: ######otubbäf':'('LD output: otubbäf', 'UDT output: otubbäf')'
'Raw input: #####otubbäf#':'('LD output: otubbäf', 'UDT output: otubbäf')'
'Raw input: ####otubbäf##':'('LD output: otubbäf', 'UDT output: otubbäf')'
'Raw input: ###otubbäf###':'('LD output: ottbbäf', 'UDT output: otubbäf')'
'Raw input: ##otubbäf####':'('LD output: otubbäf', 'UDT output: otubbäf')'
'Raw input: #otubbäf#####':'('LD output: otubbäf', 'UDT output: otubbäf')'
'Raw input: otubbäf######':'('LD output: otubbäf', 'UDT output: otubbäf')'
'Raw input: ######hpfjryo':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: #####hpfjryo#':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: ####hpfjryo##':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: ###hpfjryo###':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: ##hpfjryo####':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: #hpfjryo#####':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: hpfjryo######':'('LD output: hpfjryo', 'UDT output: hpfjryo')'
'Raw input: ######spfäyhf':'('LD output: spfäyhf', 'UDT output: spfäyhf')'
'Raw input: #####spfäyhf#':'('LD output: spfyyhf', 'UDT output: spfäyhf')'
'Raw input: ####spfäyhf##':'('LD output: spfäyhf', 'UDT output: spfäyhf')'
'Raw input: ###spfäyhf###':'('LD output: spfäyhf', 'UDT output: spfäyhf')'
'Raw input: ##spfäyhf####':'('LD output: spfäyhf', 'UDT output: spfäyhf')'
'Raw input: #spfäyhf#####':'('LD output: spfäyhf', 'UDT output: spfäyhf')'
'Raw input: spfäyhf######':'('LD output: spfäyhf', 'UDT output: spfäyhf')'
'Raw input: ######bmööunu':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: #####bmööunu#':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: ####bmööunu##':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: ###bmööunu###':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: ##bmööunu####':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: #bmööunu#####':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: bmööunu######':'('LD output: bmööunu', 'UDT output: bmööunu')'
'Raw input: ######dibvfls':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: #####dibvfls#':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: ####dibvfls##':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: ###dibvfls###':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: ##dibvfls####':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: #dibvfls#####':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: dibvfls######':'('LD output: dibvfls', 'UDT output: dibvfls')'
'Raw input: ######sdöjhov':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: #####sdöjhov#':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: ####sdöjhov##':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: ###sdöjhov###':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: ##sdöjhov####':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: #sdöjhov#####':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: sdöjhov######':'('LD output: sdöjhov', 'UDT output: sdöjhov')'
'Raw input: ######gtoteoi':'('LD output: gtoteoi', 'UDT output: gtoteoi')'
'Raw input: #####gtoteoi#':'('LD output: gtoteoi', 'UDT output: gtoteoi')'
'Raw input: ####gtoteoi##':'('LD output: ggoteoi', 'UDT output: gtoteoi')'
'Raw input: ###gtoteoi###':'('LD output: gtoteoi', 'UDT output: gtoteoi')'
'Raw input: ##gtoteoi####':'('LD output: gtoteoi', 'UDT output: gtoteoi')'
'Raw input: #gtoteoi#####':'('LD output: gtoteoi', 'UDT output: gtoteoi')'
'Raw input: gtoteoi######':'('LD output: gtoteoi', 'UDT output: gtoteoi')'
'Raw input: ######gpfoois':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: #####gpfoois#':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: ####gpfoois##':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: ###gpfoois###':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: ##gpfoois####':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: #gpfoois#####':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: gpfoois######':'('LD output: gpfoois', 'UDT output: gpfoois')'
'Raw input: ######okapbuk':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: #####okapbuk#':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: ####okapbuk##':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: ###okapbuk###':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: ##okapbuk####':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: #okapbuk#####':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: okapbuk######':'('LD output: okapbuk', 'UDT output: okapbuk')'
'Raw input: ######ässävgg':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: #####ässävgg#':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: ####ässävgg##':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: ###ässävgg###':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: ##ässävgg####':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: #ässävgg#####':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: ässävgg######':'('LD output: ässävgg', 'UDT output: ässävgg')'
'Raw input: ######gkjynmh':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: #####gkjynmh#':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: ####gkjynmh##':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: ###gkjynmh###':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: ##gkjynmh####':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: #gkjynmh#####':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: gkjynmh######':'('LD output: gkjynmh', 'UDT output: gkjynmh')'
'Raw input: ######intaväö':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: #####intaväö#':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: ####intaväö##':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: ###intaväö###':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: ##intaväö####':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: #intaväö#####':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: intaväö######':'('LD output: intaväö', 'UDT output: intaväö')'
'Raw input: ######buvlähf':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: #####buvlähf#':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: ####buvlähf##':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: ###buvlähf###':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: ##buvlähf####':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: #buvlähf#####':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: buvlähf######':'('LD output: buvlähf', 'UDT output: buvlähf')'
'Raw input: ######skdkmäh':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: #####skdkmäh#':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: ####skdkmäh##':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: ###skdkmäh###':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: ##skdkmäh####':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: #skdkmäh#####':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: skdkmäh######':'('LD output: skdkmäh', 'UDT output: skdkmäh')'
'Raw input: ######elngffo':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: #####elngffo#':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: ####elngffo##':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: ###elngffo###':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: ##elngffo####':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: #elngffo#####':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: elngffo######':'('LD output: elngffo', 'UDT output: elngffo')'
'Raw input: ######bmftemd':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: #####bmftemd#':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: ####bmftemd##':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: ###bmftemd###':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: ##bmftemd####':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: #bmftemd#####':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: bmftemd######':'('LD output: bmftemd', 'UDT output: bmftemd')'
'Raw input: ######ffjvodl':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: #####ffjvodl#':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: ####ffjvodl##':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: ###ffjvodl###':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: ##ffjvodl####':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: #ffjvodl#####':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: ffjvodl######':'('LD output: ffjvodl', 'UDT output: ffjvodl')'
'Raw input: ######dfärgab':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: #####dfärgab#':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: ####dfärgab##':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: ###dfärgab###':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: ##dfärgab####':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: #dfärgab#####':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: dfärgab######':'('LD output: dfärgab', 'UDT output: dfärgab')'
'Raw input: ######rlhsöjt':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: #####rlhsöjt#':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: ####rlhsöjt##':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: ###rlhsöjt###':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: ##rlhsöjt####':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: #rlhsöjt#####':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: rlhsöjt######':'('LD output: rlhsöjt', 'UDT output: rlhsöjt')'
'Raw input: ######riegjvf':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: #####riegjvf#':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: ####riegjvf##':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: ###riegjvf###':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: ##riegjvf####':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: #riegjvf#####':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: riegjvf######':'('LD output: riegjvf', 'UDT output: riegjvf')'
'Raw input: ######vovräij':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: #####vovräij#':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: ####vovräij##':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: ###vovräij###':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: ##vovräij####':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: #vovräij#####':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: vovräij######':'('LD output: vovräij', 'UDT output: vovräij')'
'Raw input: ######jäspmdt':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: #####jäspmdt#':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: ####jäspmdt##':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: ###jäspmdt###':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: ##jäspmdt####':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: #jäspmdt#####':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: jäspmdt######':'('LD output: jäspmdt', 'UDT output: jäspmdt')'
'Raw input: ######mketfss':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: #####mketfss#':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: ####mketfss##':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: ###mketfss###':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: ##mketfss####':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: #mketfss#####':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: mketfss######':'('LD output: mketfss', 'UDT output: mketfss')'
'Raw input: ######räyfdmp':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: #####räyfdmp#':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: ####räyfdmp##':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: ###räyfdmp###':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: ##räyfdmp####':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: #räyfdmp#####':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: räyfdmp######':'('LD output: räyfdmp', 'UDT output: räyfdmp')'
'Raw input: ######grgovka':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: #####grgovka#':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: ####grgovka##':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: ###grgovka###':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: ##grgovka####':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: #grgovka#####':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: grgovka######':'('LD output: grgovka', 'UDT output: grgovka')'
'Raw input: ######tvräudj':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: #####tvräudj#':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: ####tvräudj##':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: ###tvräudj###':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: ##tvräudj####':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: #tvräudj#####':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: tvräudj######':'('LD output: tvräudj', 'UDT output: tvräudj')'
'Raw input: ######blppaju':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: #####blppaju#':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: ####blppaju##':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: ###blppaju###':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: ##blppaju####':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: #blppaju#####':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: blppaju######':'('LD output: blppaju', 'UDT output: blppaju')'
'Raw input: ######nkpmärs':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: #####nkpmärs#':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: ####nkpmärs##':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: ###nkpmärs###':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: ##nkpmärs####':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: #nkpmärs#####':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: nkpmärs######':'('LD output: nkpmärs', 'UDT output: nkpmärs')'
'Raw input: ######raäuihb':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: #####raäuihb#':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: ####raäuihb##':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: ###raäuihb###':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: ##raäuihb####':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: #raäuihb#####':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: raäuihb######':'('LD output: raäuihb', 'UDT output: raäuihb')'
'Raw input: ######äeöfiyu':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: #####äeöfiyu#':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: ####äeöfiyu##':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: ###äeöfiyu###':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: ##äeöfiyu####':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: #äeöfiyu#####':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: äeöfiyu######':'('LD output: äeöfiyu', 'UDT output: äeöfiyu')'
'Raw input: ######ijlrppt':'('LD output: ijlrppt', 'UDT output: ijlrppt')'
'Raw input: #####ijlrppt#':'('LD output: ijlrptt', 'UDT output: ijlrppt')'
'Raw input: ####ijlrppt##':'('LD output: ijlrppt', 'UDT output: ijlrppt')'
'Raw input: ###ijlrppt###':'('LD output: ijlrppt', 'UDT output: ijlrppt')'
'Raw input: ##ijlrppt####':'('LD output: ijlrppt', 'UDT output: ijlrppt')'
'Raw input: #ijlrppt#####':'('LD output: ijlrppt', 'UDT output: ijlrppt')'
'Raw input: ijlrppt######':'('LD output: ijlrppt', 'UDT output: ijlrppt')'
'Raw input: ######mäfbdmä':'('LD output: mäfbdmä', 'UDT output: mäfbdmä')'
'Raw input: #####mäfbdmä#':'('LD output: mäfbdmä', 'UDT output: mäfbdmä')'
