word,neighbours,old20_mean,old20_sd,spread,uniqueness_point
haastaa,0,2.700000,0.470162,0,4
haetaan,1,2.200000,0.523148,1,3
haittaa,1,2.450000,0.604805,1,3
hakanen,0,2.900000,0.307794,0,4
hakemus,0,3.450000,0.686333,0,5
hakenut,0,3.150000,0.812728,0,5
hakevat,0,2.750000,0.444262,0,5
hakijan,1,2.750000,0.550120,1,7
hakijat,1,3.000000,0.725476,1,7
hallaan,0,2.800000,0.410391,0,5
hallita,0,2.800000,0.410391,0,5
halonen,3,2.200000,0.695852,1,4
haltija,0,2.950000,0.223607,0,5
haltuun,0,2.950000,0.394034,0,5
halusin,0,3.200000,0.615587,0,6
halusta,0,2.600000,0.502625,0,6
haluttu,0,2.950000,0.394034,0,5
haminan,0,3.000000,0.458831,0,4
hampaat,0,3.450000,0.510418,0,4
hankala,0,2.700000,0.470162,0,5
hankkia,1,2.850000,0.670820,1,7
hankkii,1,3.500000,0.760886,1,7
hannele,0,3.800000,0.523148,0,5
hannula,0,3.050000,0.686333,0,5
hapuilu,0,3.950000,0.223607,0,3
harkita,0,2.850000,0.366348,0,4
harmaan,1,2.500000,0.606977,1,4
harppoi,0,3.900000,0.307794,0,4
hartaus,0,2.900000,0.307794,0,4
harvoin,0,3.300000,0.571241,0,4
hattula,0,2.850000,0.366348,0,3
hauraan,0,2.700000,0.470162,0,4
hauskaa,1,2.800000,0.523148,1,7
hauskat,1,3.400000,0.753937,1,7
hautala,0,2.650000,0.489360,0,4
havaita,0,2.850000,0.366348,0,3
heikkoa,0,2.850000,0.366348,0,5
heikura,0,3.700000,0.571241,0,5
heinola,0,3.300000,0.571241,0,4
heittää,1,2.400000,0.598243,1,4
helpoin,0,3.550000,0.510418,0,5
helppoa,0,3.950000,0.510418,0,5
henkeen,0,2.950000,0.223607,0,5
henkilö,0,3.900000,0.307794,0,5
herätti,0,3.500000,0.606977,0,3
hevonen,1,2.450000,0.604805,1,5
hevosen,2,2.850000,0.745160,2,7
hevoset,1,3.600000,0.820783,1,7
hidasta,0,2.750000,0.444262,0,3
hiekkaa,0,2.900000,0.307794,0,4
hienoja,1,3.150000,0.875094,1,4
hieroja,1,3.200000,0.894427,1,4
hietala,0,2.800000,0.410391,0,4
hiihdon,0,3.750000,0.550120,0,3
hintaan,1,2.600000,0.598243,1,5
hintoja,0,2.750000,0.444262,0,5
hirveän,0,3.700000,0.470162,0,3
hiukset,0,3.850000,0.366348,0,3
hoitaja,2,2.700000,0.656947,2,6
hoitava,2,2.650000,0.670820,2,6
hoitoja,1,2.700000,0.571241,1,6
hoitoon,0,3.050000,0.604805,0,6
hollola,0,3.300000,0.470162,0,3
hotelli,0,3.550000,0.510418,0,3
huhtala,0,2.900000,0.307794,0,3
hukassa,0,2.850000,0.366348,0,4
hukkaan,0,2.900000,0.307794,0,4
hunajaa,0,3.650000,0.489360,0,3
huollon,1,2.850000,0.670820,1,7
huollot,1,3.300000,0.864505,1,7
huoltaa,1,2.750000,0.550120,1,6
huoltoa,1,2.850000,0.745160,1,6
huomaan,2,2.350000,0.670820,1,6
huomasi,0,3.300000,0.864505,0,6
huomata,0,2.800000,0.410391,0,6
huomioi,1,3.050000,0.759155,1,7
huomion,2,2.500000,0.688247,2,7
huoneen,1,2.500000,0.606977,1,7
huoneet,3,2.650000,0.745160,2,7
huonoja,0,3.000000,0.561951,0,6
huonoon,0,2.700000,0.470162,0,6
huotari,0,3.150000,0.670820,0,4
huumori,0,3.650000,0.489360,0,3
hylätty,0,3.450000,0.510418,0,3
hytönen,1,3.450000,0.759155,1,3
hyvillä,1,2.700000,0.571241,1,5
hyvissä,2,2.750000,0.786398,2,6
hyvistä,2,2.700000,0.732695,2,6
hyväksi,1,3.150000,0.812728,1,7
hyväksy,1,3.350000,0.875094,1,7
hyvälle,2,3.000000,0.917663,2,7
hyvällä,3,2.700000,0.978721,3,7
hyvältä,2,2.650000,0.812728,2,6
hyvänsä,1,2.900000,0.911910,1,5
hyvässä,3,2.650000,1.039990,3,6
hyvästä,3,2.500000,0.827170,3,6
hyvönen,1,3.200000,0.767772,1,4
hyötyjä,0,3.750000,0.444262,0,3
häiriöt,0,4.400000,0.598243,0,3
hänelle,1,2.600000,0.598243,1,7
hänellä,3,2.450000,0.759155,3,7
häneltä,2,2.650000,0.745160,2,6
hänestä,2,2.700000,0.656947,2,5
härmälä,0,3.700000,0.470162,0,3
höyläsi,0,4.250000,0.550120,0,2
ideasta,0,2.900000,0.307794,0,4
ideoita,0,3.450000,0.686333,0,4
ihailla,0,3.200000,0.523148,0,3
ihmeitä,1,3.050000,0.759155,1,5
ihmettä,2,3.050000,0.887041,2,5
ihminen,1,2.550000,0.604805,1,5
ihmisen,2,2.550000,0.686333,2,7
ihmiset,1,3.150000,0.875094,1,7
ihmisiä,1,3.100000,0.788069,1,6
ihmistä,1,2.650000,0.587143,1,6
iisalmi,0,3.900000,0.307794,0,2
ikkunan,1,3.500000,0.760886,1,7
ikkunat,1,3.700000,0.732695,1,7
ikuinen,1,2.750000,0.550120,1,3
ikäinen,2,2.650000,0.670820,2,3
illalla,0,2.900000,0.307794,0,5
illassa,1,2.650000,0.587143,1,5
ilmassa,1,2.700000,0.571241,1,6
ilmasto,0,3.200000,0.615587,0,6
ilmenee,0,3.650000,0.489360,0,5
ilmesty,0,3.300000,0.656947,0,5
ilmettä,1,3.000000,0.794719,1,5
ilmiötä,0,3.300000,0.656947,0,4
ilmoita,0,3.200000,0.615587,0,4
iloinen,1,2.600000,0.598243,1,5
iloisen,1,2.650000,0.587143,1,6
iloisia,1,2.750000,0.550120,1,6
iloista,1,2.600000,0.598243,1,6
ilojaan,0,3.000000,0.000000,0,4
imatran,0,3.700000,0.470162,0,3
immonen,0,2.800000,0.410391,0,3
indeksi,0,3.450000,0.825578,0,3
innokas,0,3.800000,0.410391,0,5
innolla,0,3.100000,0.307794,0,5
irlanti,1,3.800000,0.695852,1,2
islanti,1,3.750000,0.716350,1,3
isoissa,0,2.700000,0.470162,0,4
isokatu,0,3.750000,0.550120,0,4
isommat,0,3.800000,0.410391,0,5
isompia,0,3.700000,0.470162,0,5
isotalo,0,3.750000,0.444262,0,4
istunut,0,3.350000,0.670820,0,5
istuvat,0,3.150000,0.587143,0,5
isännän,0,3.850000,0.366348,0,3
italian,0,3.600000,0.502625,0,3
itkonen,0,2.850000,0.366348,0,3
itsekin,0,3.450000,0.604805,0,5
itselle,0,3.000000,0.324443,0,5
itsemme,0,3.350000,0.745160,0,5
itsensä,0,3.200000,0.615587,0,5
itsestä,0,2.950000,0.223607,0,5
itseäni,1,3.500000,0.827170,1,6
itseäsi,1,3.350000,0.875094,1,6
itseään,0,3.250000,0.716350,0,6
itäinen,2,2.600000,0.680557,2,5
itäisen,1,2.700000,0.571241,1,5
jaetaan,1,2.400000,0.598243,1,3
jakavat,0,2.800000,0.410391,0,3
jalmari,0,3.850000,0.366348,0,4
jalonen,3,2.250000,0.716350,1,4
jaoston,0,3.450000,0.510418,0,3
japanin,0,3.450000,0.604805,0,3
jatkuva,0,3.550000,0.510418,0,3
joensuu,0,4.200000,0.410391,0,3
johanna,0,3.550000,0.510418,0,4
johtaja,2,2.700000,0.656947,1,6
johtama,2,2.750000,0.638666,1,6
johtava,3,2.550000,0.759155,2,6
johtoon,0,2.900000,0.447214,0,5
johtuen,0,2.850000,0.366348,0,6
johtuva,1,3.150000,0.875094,1,6
joitain,1,2.700000,0.571241,1,3
jokelan,0,3.300000,0.470162,0,4
jokinen,1,2.850000,0.489360,1,4
jokunen,1,2.900000,0.447214,1,4
jollain,1,2.800000,0.615587,1,5
jolloin,1,2.900000,0.640723,1,5
jossain,1,3.300000,0.864505,1,4
jostain,2,2.700000,0.656947,2,4
jotakin,0,3.250000,0.716350,0,3
jouduin,0,3.400000,0.598243,0,4
joukkoa,0,3.500000,0.606977,0,6
joukkue,0,3.850000,0.489360,0,6
jouluna,0,3.300000,0.656947,0,6
jouluun,1,3.150000,0.875094,1,6
juhlaan,0,2.800000,0.410391,0,5
juhlien,1,2.800000,0.523148,1,6
juhliin,1,2.850000,0.489360,1,6
jumalaa,1,3.150000,0.745160,1,7
jumalan,1,3.250000,0.716350,1,7
junalla,0,2.800000,0.410391,0,4
juniori,0,3.800000,0.523148,0,4
juomien,0,2.700000,0.470162,0,4
juontaa,0,2.750000,0.444262,0,4
jussila,0,3.500000,0.606977,0,3
jutella,0,2.950000,0.510418,0,4
juttuja,1,3.100000,0.640723,1,4
jutussa,0,2.800000,0.410391,0,4
juvonen,0,2.600000,0.502625,0,3
jälkeen,1,2.700000,0.571241,1,4
jälleen,1,2.750000,0.550120,1,4
järkevä,0,3.450000,0.686333,0,4
järvelä,0,3.700000,0.571241,0,4
jäsenen,1,2.750000,0.550120,1,7
jäsenet,1,3.450000,0.887041,1,7
jäseniä,1,3.450000,0.887041,1,6
jäsentä,1,2.950000,0.759155,1,6
jätetty,1,3.400000,0.753937,1,7
jätettä,1,2.850000,0.587143,1,7
jätteen,1,2.650000,0.587143,1,7
jätteet,1,2.950000,0.686333,1,7
jääneen,1,2.850000,0.670820,1,7
jääneet,1,2.750000,0.550120,1,7
kaarina,0,3.250000,0.550120,0,3
kadulla,0,2.900000,0.307794,0,3
kahteen,2,2.400000,0.680557,2,6
kahtena,0,2.950000,0.223607,0,6
kahvila,0,3.000000,0.000000,0,4
kaikkea,1,2.700000,0.571241,1,6
kaikkia,1,2.750000,0.550120,1,6
kainuun,0,3.250000,0.550120,0,4
kajaani,0,3.500000,0.512989,0,3
kalervo,0,3.650000,0.587143,0,5
kalevan,0,2.800000,0.410391,0,5
kallion,0,2.900000,0.447214,0,4
kalojen,1,2.100000,0.447214,1,4
kalusto,0,3.200000,0.523148,0,4
kameran,0,3.200000,0.615587,0,3
kanadan,1,2.850000,0.489360,1,5
kanavan,1,2.650000,0.587143,1,5
kanerva,0,3.000000,0.458831,0,4
kankaan,0,2.500000,0.512989,0,4
kannata,0,2.850000,0.366348,0,4
kanslia,0,3.150000,0.489360,0,4
kantaja,1,2.700000,0.571241,1,6
kantava,2,2.200000,0.615587,2,6
kanteen,1,2.500000,0.606977,1,5
kantola,0,2.650000,0.489360,0,5
kaponen,2,2.400000,0.680557,2,4
kappale,0,3.450000,0.686333,0,5
kappeli,1,3.550000,0.825578,1,5
kapseli,1,3.500000,0.827170,1,4
karaoke,0,3.800000,0.410391,0,4
karhula,0,3.050000,0.394034,0,4
karjala,0,2.850000,0.366348,0,4
kartano,0,3.400000,0.598243,0,4
kasassa,1,2.650000,0.587143,1,4
kastike,0,3.800000,0.523148,0,4
kasvava,0,2.750000,0.444262,0,5
kasveja,1,3.100000,0.718185,1,5
kasvien,0,2.850000,0.366348,0,5
kasvoja,1,2.750000,0.550120,1,5
kasvuun,0,3.100000,0.718185,0,5
katettu,0,2.950000,0.223607,0,4
katolla,1,2.650000,0.587143,1,7
katolle,1,3.050000,0.686333,1,7
katsaus,0,3.050000,0.223607,0,5
katsoen,0,3.100000,0.552506,0,5
kattava,1,2.500000,0.606977,1,5
kattoon,0,3.000000,0.458831,0,5
katujen,0,2.750000,0.444262,0,4
kauhava,0,2.750000,0.444262,0,4
kaukana,0,2.900000,0.307794,0,4
kauneus,0,3.600000,0.502625,0,5
kauniin,1,2.850000,0.489360,1,7
kauniit,1,3.650000,0.745160,1,7
kauppaa,0,3.700000,0.470162,0,4
kaverin,1,3.050000,0.759155,1,7
kaverit,1,3.300000,0.801315,1,7
kehikko,0,3.550000,0.510418,0,5
kehitti,1,3.000000,0.725476,1,6
kehitys,0,3.300000,0.801315,0,6
kehotti,1,3.200000,0.833509,1,6
kehotus,0,3.250000,0.850696,0,6
keinoin,0,3.200000,0.615587,0,6
keinoja,0,3.100000,0.640723,0,6
keisari,0,3.950000,0.223607,0,4
keittiö,0,3.300000,0.656947,0,4
kelasta,0,2.850000,0.366348,0,3
kemissä,0,2.800000,0.410391,0,4
kempele,0,3.700000,0.470162,0,4
kemusta,0,2.850000,0.366348,0,4
kenelle,0,2.850000,0.366348,0,4
kenties,0,3.450000,0.604805,0,5
kenttää,0,2.700000,0.470162,0,5
keravan,0,2.950000,0.394034,0,4
kerroin,0,3.200000,0.523148,0,4
kertaan,0,2.650000,0.489360,0,5
kertoja,1,2.750000,0.550120,1,6
kertova,1,3.150000,0.670820,1,6
keränen,0,2.900000,0.307794,0,5
kerätty,0,3.300000,0.656947,0,5
kestävä,0,3.050000,0.604805,0,4
kesäksi,0,3.250000,0.716350,0,6
kesäkuu,0,3.800000,0.523148,0,6
kesällä,0,2.750000,0.444262,0,5
kesästä,0,2.750000,0.444262,0,5
ketonen,0,2.500000,0.512989,0,3
keuruun,0,3.450000,0.604805,0,3
kevyttä,1,3.200000,0.695852,1,4
kevättä,1,3.000000,0.794719,1,5
keväänä,0,3.700000,0.571241,0,5
kieleen,3,2.400000,0.753937,2,5
kiellon,0,3.350000,0.670820,0,5
kielten,1,2.650000,0.670820,1,6
kieltää,1,2.750000,0.550120,1,6
kierros,0,3.700000,0.571241,0,5
kiertää,1,2.700000,0.571241,1,5
kiihtyy,1,3.300000,0.864505,1,4
kiinaan,0,2.950000,0.223607,0,5
kiinteä,0,3.000000,0.324443,0,5
kiireen,0,2.650000,0.489360,0,4
kiittää,2,2.050000,0.510418,1,4
kimalsi,0,3.700000,0.470162,0,3
kirjaan,0,2.650000,0.489360,0,6
kirjata,1,2.700000,0.571241,1,6
kirjeen,2,2.600000,0.680557,2,7
kirjeet,1,3.050000,0.759155,1,7
kirjein,1,2.900000,0.718185,1,6
kirjoja,0,2.800000,0.410391,0,5
kirkkoa,0,2.950000,0.223607,0,4
kisassa,1,2.700000,0.571241,1,4
kisojen,0,2.700000,0.470162,0,4
kitisen,0,2.800000,0.410391,0,4
kittilä,0,3.550000,0.604805,0,4
kivinen,0,2.650000,0.489360,0,5
kivistö,0,3.400000,0.598243,0,5
klikkaa,0,2.800000,0.410391,0,2
kodissa,1,2.550000,0.604805,1,6
kodista,1,2.650000,0.587143,1,6
koetaan,2,2.300000,0.656947,1,3
kohdata,0,3.200000,0.615587,0,4
kohtaan,2,2.400000,0.680557,1,6
kohtalo,0,3.100000,0.552506,0,6
kohteen,2,2.400000,0.680557,2,7
kohteet,1,2.700000,0.571241,1,7
kohtelu,0,3.300000,0.732695,0,6
koirien,0,2.750000,0.444262,0,4
koittaa,2,2.350000,0.670820,1,4
koivula,0,3.000000,0.458831,0,4
kokeile,1,3.300000,0.732695,1,7
kokeilu,1,3.300000,0.732695,1,7
kokemus,0,3.150000,0.670820,0,5
kokenut,0,2.850000,0.670820,0,5
kokevaa,1,2.750000,0.550120,1,7
kokevat,2,2.550000,0.686333,2,7
kokivat,1,2.800000,0.523148,1,4
kokkola,0,2.850000,0.489360,0,4
kolmeen,0,2.800000,0.410391,0,6
kolmena,0,3.200000,0.523148,0,6
kolumni,0,3.900000,0.307794,0,4
komitea,0,3.500000,0.512989,0,3
koneita,1,2.700000,0.571241,1,5
konetta,1,2.750000,0.550120,1,5
koonnut,0,3.500000,0.606977,0,4
koostui,1,3.350000,0.812728,1,7
koostuu,1,3.250000,0.786398,1,7
kootaan,2,2.600000,0.680557,1,4
koponen,2,2.500000,0.688247,2,3
korjata,2,2.650000,0.670820,2,6
korjaus,1,3.000000,0.794719,1,6
korkeaa,2,2.450000,0.686333,1,7
korkean,3,2.500000,0.760886,2,7
korkeat,2,2.600000,0.680557,1,7
korkein,1,2.600000,0.598243,1,6
korkeus,0,2.500000,0.512989,0,6
korkoja,0,2.800000,0.410391,0,5
korosti,0,3.050000,0.510418,0,5
korotus,0,2.900000,0.640723,0,5
korpela,0,2.900000,0.307794,0,4
korsuun,0,2.950000,0.394034,0,4
korttia,0,2.950000,0.223607,0,4
korvata,1,2.650000,0.587143,1,6
korvaus,1,3.100000,0.852242,1,6
korvina,0,3.150000,0.489360,0,5
koskaan,0,2.600000,0.502625,0,5
koskela,1,2.750000,0.550120,1,6
koskeva,1,2.700000,0.571241,1,6
koskien,0,2.650000,0.489360,0,5
kosonen,1,2.450000,0.604805,1,4
kosteus,0,3.100000,0.447214,0,4
kotimaa,0,3.100000,0.447214,0,5
kotinsa,0,3.200000,0.615587,0,5
kouluja,1,3.000000,0.858395,1,6
kouluun,1,2.800000,0.695852,1,6
kouvola,0,2.950000,0.510418,0,4
kovalla,0,2.750000,0.444262,0,5
kovanen,0,2.850000,0.366348,0,5
kovassa,1,2.350000,0.587143,1,6
kovasti,0,2.950000,0.510418,0,6
kreikan,0,3.650000,0.670820,0,6
kreikka,0,3.400000,0.680557,0,6
kriisin,1,3.400000,0.820783,1,7
kriisiä,1,3.400000,0.753937,1,7
kristus,0,3.300000,0.470162,0,4
kroatia,0,3.650000,0.489360,0,3
kukaksi,0,3.350000,0.489360,0,4
kukinta,0,3.150000,0.587143,0,4
kukkien,0,2.850000,0.366348,0,4
kulkeva,0,2.950000,0.223607,0,4
kulmala,0,3.050000,0.394034,0,4
kulujen,0,2.650000,0.489360,0,5
kulunut,0,3.200000,0.695852,0,5
kulutus,0,3.450000,0.686333,0,5
kuluvan,0,2.800000,0.410391,0,5
kumpula,0,3.500000,0.512989,0,3
kunnian,0,2.850000,0.366348,0,4
kuntaan,0,2.150000,0.366348,0,5
kuntien,2,2.300000,0.656947,2,6
kuntiin,1,2.350000,0.587143,1,6
kuntoon,0,2.650000,0.489360,0,5
kuolema,0,3.300000,0.470162,0,5
kuollut,1,3.500000,0.827170,1,5
kuopion,0,2.800000,0.410391,0,4
kuoreen,1,2.350000,0.587143,1,5
kuorman,0,2.900000,0.307794,0,5
kurikan,0,2.850000,0.366348,0,6
kurikka,0,2.950000,0.510418,0,6
kurissa,1,2.400000,0.598243,1,5
kuronen,0,2.400000,0.502625,0,4
kurssia,2,2.850000,0.745160,1,7
kurssin,2,2.850000,0.670820,1,7
kurssit,2,3.600000,0.940325,1,7
kutakin,0,3.300000,0.571241,0,3
kuullut,1,3.550000,0.759155,1,5
kuuluja,2,2.900000,0.788069,2,6
kuuluva,1,3.000000,0.725476,1,6
kuumana,0,3.100000,0.552506,0,4
kuusamo,0,3.800000,0.410391,0,5
kuusela,0,2.950000,0.223607,0,5
kuuteen,0,2.500000,0.512989,0,5
kuution,0,2.750000,0.444262,0,5
kuvaaja,1,3.000000,0.725476,1,6
kuvaava,1,2.800000,0.523148,1,6
kuvassa,4,2.150000,0.745160,4,6
kuvasta,2,2.350000,0.670820,2,6
kuvattu,1,2.850000,0.489360,1,5
